question,context,answer
extract entities from this contract excerpt,"The Mineral Rights Lease Agreement signed on March 23, 2027, grants Extraction Corp. exclusive rights to mine copper and silver from property owned by Landowner Trust, administered by Mountain Trust Company. The lease term is 20 years, effective May 1, 2027, through April 30, 2047, with renewal options for two additional 10-year periods. Annual royalty payments of 8% of gross mineral revenues are due by January 31st of each year. Environmental restoration bonds totaling $5,000,000 have been posted with State Mining Authority. Mining engineer Dr. James Wilson will oversee extraction operations. Geological surveys must be completed by August 15, 2027.","{'parties': [{'name': 'Extraction Corp.', 'role': 'Lessee'}, {'name': 'Landowner Trust', 'role': 'Lessor'}, {'name': 'Mountain Trust Company', 'role': 'Trust Administrator'}, {'name': 'State Mining Authority', 'role': 'Bonding Authority'}, {'name': 'Dr. James Wilson', 'role': 'Mining Engineer'}], 'dates': [{'type': 'mineral_lease_date', 'date': 'March 23, 2027'}, {'type': 'lease_effective_date', 'date': 'May 1, 2027'}, {'type': 'lease_expiration_date', 'date': 'April 30, 2047'}, {'type': 'geological_survey_deadline', 'date': 'August 15, 2027'}]}"
extract entities from this contract excerpt,"The Collective Bargaining Agreement ratified on May 13, 2027, between Manufacturing Workers Union Local 247 and Industrial Production Corp. establishes employment terms for 850 union members. The contract term extends 4 years, effective July 1, 2027, through June 30, 2031. Annual wage increases of 3.5% will take effect each July 1st during the contract period. Health benefits administration will be managed by Union Benefits Trust, with contributions from both parties. Labor Relations Specialist Andrew Martinez will coordinate ongoing union-management relations. Contract renegotiation discussions must commence by January 1, 2031.","{'parties': [{'name': 'Manufacturing Workers Union Local 247', 'role': 'Union'}, {'name': 'Industrial Production Corp.', 'role': 'Employer'}, {'name': 'Union Benefits Trust', 'role': 'Benefits Administrator'}, {'name': 'Andrew Martinez', 'role': 'Labor Relations Specialist'}], 'dates': [{'type': 'collective_bargaining_ratification_date', 'date': 'May 13, 2027'}, {'type': 'contract_effective_date', 'date': 'July 1, 2027'}, {'type': 'contract_expiration_date', 'date': 'June 30, 2031'}, {'type': 'renegotiation_commencement_date', 'date': 'January 1, 2031'}]}"
extract entities from this contract excerpt,"The Pharmaceutical Licensing Agreement executed on September 12, 2027, grants Global Pharma Corp., a Swiss corporation, exclusive rights to manufacture and distribute patented medications in North America. The licensing period spans 12 years, commencing November 1, 2027, and terminating October 31, 2039. Regulatory approvals from FDA must be obtained by March 1, 2028, with commercial launch scheduled for July 1, 2028. Minimum royalty guarantees total $50,000,000 annually beginning in the second contract year. Drug safety monitoring will be conducted by Pharmacovigilance Services LLC with quarterly reporting to regulatory authorities. Patent Attorney Dr. Rachel Green will manage intellectual property enforcement. Clinical trials data must be transferred by December 15, 2027.","{'parties': [{'name': 'Global Pharma Corp.', 'role': 'Licensee', 'entity_type': 'Swiss corporation'}, {'name': 'Pharmacovigilance Services LLC', 'role': 'Drug Safety Monitor'}, {'name': 'Dr. Rachel Green', 'role': 'Patent Attorney'}], 'dates': [{'type': 'pharmaceutical_licensing_date', 'date': 'September 12, 2027'}, {'type': 'licensing_commencement_date', 'date': 'November 1, 2027'}, {'type': 'licensing_expiration_date', 'date': 'October 31, 2039'}, {'type': 'fda_approval_deadline', 'date': 'March 1, 2028'}, {'type': 'commercial_launch_date', 'date': 'July 1, 2028'}, {'type': 'clinical_data_transfer_deadline', 'date': 'December 15, 2027'}]}"
extract entities from this contract excerpt,"The Insurance Settlement Agreement executed on November 15, 2027, between Liability Insurance Co., an Illinois corporation, and Accident Victim Trust resolves personal injury claims arising from a commercial vehicle accident. The settlement amount is $8,750,000 payable within 45 days of execution, no later than December 30, 2027. Structured settlement payments will be administered by Annuity Services Corp. over 20 years beginning January 15, 2028. Legal fees and costs totaling $2,625,000 will be paid directly to Plaintiff's Law Firm LLP. Medical lien resolution services are provided by Lien Resolution Specialists Inc. Settlement approval was obtained from the probate court on October 30, 2027.","{'parties': [{'name': 'Liability Insurance Co.', 'role': 'Insurer/Settling Party', 'entity_type': 'Illinois corporation'}, {'name': 'Accident Victim Trust', 'role': 'Claimant'}, {'name': 'Annuity Services Corp.', 'role': 'Structured Settlement Administrator'}, {'name': ""Plaintiff's Law Firm LLP"", 'role': 'Legal Counsel'}, {'name': 'Lien Resolution Specialists Inc.', 'role': 'Medical Lien Resolver'}], 'dates': [{'type': 'settlement_agreement_date', 'date': 'November 15, 2027'}, {'type': 'payment_deadline', 'date': 'December 30, 2027'}, {'type': 'structured_payment_commencement_date', 'date': 'January 15, 2028'}, {'type': 'court_approval_date', 'date': 'October 30, 2027'}]}"
extract entities from this contract excerpt,"The Software Escrow Agreement signed on January 22, 2028, between Software Developer Inc., a California corporation, and Enterprise Client Corp. establishes source code escrow arrangements for mission-critical business applications. The escrow term is 7 years, commencing March 1, 2028, and ending February 28, 2035. Source code deposits will be maintained by Technology Escrow Services LLC with quarterly verification updates. Release conditions include developer bankruptcy, material breach, or failure to provide maintenance support for 90 consecutive days. Escrow agent fees of $15,000 annually are split equally between parties. Software verification testing will be conducted by Independent Testing Labs Inc. Code releases require joint written authorization or court order.","{'parties': [{'name': 'Software Developer Inc.', 'role': 'Depositor', 'entity_type': 'California corporation'}, {'name': 'Enterprise Client Corp.', 'role': 'Beneficiary'}, {'name': 'Technology Escrow Services LLC', 'role': 'Escrow Agent'}, {'name': 'Independent Testing Labs Inc.', 'role': 'Software Verification Provider'}], 'dates': [{'type': 'software_escrow_agreement_date', 'date': 'January 22, 2028'}, {'type': 'escrow_effective_date', 'date': 'March 1, 2028'}, {'type': 'escrow_expiration_date', 'date': 'February 28, 2035'}]}"
extract entities from this contract excerpt,"The Blockchain Technology License Agreement executed on May 8, 2028, between Crypto Innovation Corp. and Financial Services Bank, a New York corporation, grants exclusive rights to implement distributed ledger technology for cross-border payment processing. The licensing term extends 10 years, effective July 1, 2028, through June 30, 2038. Implementation phases include system integration by December 31, 2028, pilot testing through March 31, 2029, and full deployment by September 30, 2029. Technology consulting services will be provided by Digital Advisory LLC throughout the implementation period. Regulatory compliance coordination with Federal Banking Authority will be managed by Compliance Consulting Corp. Chief Technology Officer Dr. Jennifer Wong will oversee technical architecture and security protocols.","{'parties': [{'name': 'Crypto Innovation Corp.', 'role': 'Technology Licensor'}, {'name': 'Financial Services Bank', 'role': 'Licensee', 'entity_type': 'New York corporation'}, {'name': 'Digital Advisory LLC', 'role': 'Technology Consultant'}, {'name': 'Federal Banking Authority', 'role': 'Regulatory Authority'}, {'name': 'Compliance Consulting Corp.', 'role': 'Regulatory Compliance Coordinator'}, {'name': 'Dr. Jennifer Wong', 'role': 'Chief Technology Officer'}], 'dates': [{'type': 'blockchain_license_agreement_date', 'date': 'May 8, 2028'}, {'type': 'licensing_effective_date', 'date': 'July 1, 2028'}, {'type': 'licensing_expiration_date', 'date': 'June 30, 2038'}, {'type': 'system_integration_deadline', 'date': 'December 31, 2028'}, {'type': 'pilot_testing_completion_date', 'date': 'March 31, 2029'}, {'type': 'full_deployment_deadline', 'date': 'September 30, 2029'}]}"
extract entities from this contract excerpt,"The Clinical Research Collaboration Agreement executed on August 17, 2028, between University Medical Center and Pharmaceutical Research Corp., a Delaware corporation, establishes a joint venture for developing novel cancer therapies. The collaboration term extends 6 years, effective October 1, 2028, through September 30, 2034. Research milestones include completion of preclinical studies by June 30, 2030, IND filing with FDA by December 31, 2030, and Phase I trial enrollment by September 30, 2031. Joint funding totals $45,000,000 with equal contributions from both parties. Intellectual property rights will be managed by Patent Strategy LLC with revenue sharing based on contribution percentages. Principal Investigator Dr. Robert Kim will lead the research team. Regulatory affairs coordination will be handled by Clinical Regulatory Services Inc. Data management and biostatistics services will be provided by Clinical Data Solutions LLC.","{'parties': [{'name': 'University Medical Center', 'role': 'Research Collaborator'}, {'name': 'Pharmaceutical Research Corp.', 'role': 'Industry Collaborator', 'entity_type': 'Delaware corporation'}, {'name': 'Patent Strategy LLC', 'role': 'IP Rights Manager'}, {'name': 'Dr. Robert Kim', 'role': 'Principal Investigator'}, {'name': 'Clinical Regulatory Services Inc.', 'role': 'Regulatory Affairs Coordinator'}, {'name': 'Clinical Data Solutions LLC', 'role': 'Data Management Provider'}], 'dates': [{'type': 'clinical_collaboration_agreement_date', 'date': 'August 17, 2028'}, {'type': 'collaboration_effective_date', 'date': 'October 1, 2028'}, {'type': 'collaboration_expiration_date', 'date': 'September 30, 2034'}, {'type': 'preclinical_studies_deadline', 'date': 'June 30, 2030'}, {'type': 'ind_filing_deadline', 'date': 'December 31, 2030'}, {'type': 'phase_1_enrollment_deadline', 'date': 'September 30, 2031'}]}"
extract entities from this contract excerpt,"The Environmental Remediation Agreement executed on March 12, 2025, engages EcoRestore Environmental Services Inc., a California corporation, to conduct contamination cleanup at the former industrial site owned by Riverside Manufacturing Partners. The remediation work must commence by April 15, 2025, and achieve regulatory compliance by December 1, 2026. The Environmental Protection Agency has been designated as the oversight agency. Jennifer Walsh, serving as Project Director for EcoRestore Environmental Services Inc., will supervise all remediation activities.","{'parties': [{'name': 'EcoRestore Environmental Services Inc.', 'role': 'Environmental Contractor', 'entity_type': 'California corporation'}, {'name': 'Riverside Manufacturing Partners', 'role': 'Property Owner'}, {'name': 'Environmental Protection Agency', 'role': 'Regulatory Oversight Agency'}, {'name': 'Jennifer Walsh', 'role': 'Project Director', 'entity_type': 'Project Director for EcoRestore Environmental Services Inc.'}], 'dates': [{'type': 'agreement_execution_date', 'date': 'March 12, 2025'}, {'type': 'remediation_commencement_date', 'date': 'April 15, 2025'}, {'type': 'compliance_deadline', 'date': 'December 1, 2026'}]}"
extract entities from this contract excerpt,"The Master Supply Chain Agreement executed on January 20, 2025, establishes a comprehensive supply relationship between Pacific Manufacturing Ltd., as the primary supplier, and Global Retail Network Inc., a multinational retailer. The agreement becomes effective February 1, 2025, and continues through January 31, 2028. Quality Assurance Solutions LLC has been appointed as the independent quality control inspector. Annual volume commitments must be reviewed by June 30th of each contract year. David Chen, in his role as Chief Procurement Officer of Global Retail Network Inc., authorized the agreement.","{'parties': [{'name': 'Pacific Manufacturing Ltd.', 'role': 'Primary Supplier'}, {'name': 'Global Retail Network Inc.', 'role': 'Buyer', 'entity_type': 'multinational retailer'}, {'name': 'Quality Assurance Solutions LLC', 'role': 'Quality Control Inspector'}, {'name': 'David Chen', 'role': 'Chief Procurement Officer', 'entity_type': 'Chief Procurement Officer of Global Retail Network Inc.'}], 'dates': [{'type': 'agreement_execution_date', 'date': 'January 20, 2025'}, {'type': 'effective_date', 'date': 'February 1, 2025'}, {'type': 'expiration_date', 'date': 'January 31, 2028'}, {'type': 'annual_review_deadline', 'date': 'June 30th of each contract year'}]}"
extract entities from this contract excerpt,"The Cross-Border Tax Optimization Agreement signed on November 5, 2024, between International Holdings BV, a Netherlands entity, and Offshore Investment Trust, domiciled in Luxembourg, establishes tax-efficient transfer pricing arrangements. The arrangement becomes operative January 1, 2025, and remains valid through December 31, 2029. Deloitte Tax Advisory Services acts as the independent tax consultant, while Ernst & Young Luxembourg serves as the compliance monitor. Annual transfer pricing documentation must be submitted by March 31st each year. Sarah Williams, as Tax Director of International Holdings BV, oversees implementation.","{'parties': [{'name': 'International Holdings BV', 'role': 'Transfer Pricing Entity', 'entity_type': 'Netherlands entity'}, {'name': 'Offshore Investment Trust', 'role': 'Receiving Entity', 'entity_type': 'Luxembourg trust'}, {'name': 'Deloitte Tax Advisory Services', 'role': 'Tax Consultant'}, {'name': 'Ernst & Young Luxembourg', 'role': 'Compliance Monitor'}, {'name': 'Sarah Williams', 'role': 'Tax Director', 'entity_type': 'Tax Director of International Holdings BV'}], 'dates': [{'type': 'agreement_signing_date', 'date': 'November 5, 2024'}, {'type': 'operative_date', 'date': 'January 1, 2025'}, {'type': 'validity_expiration_date', 'date': 'December 31, 2029'}, {'type': 'annual_documentation_deadline', 'date': 'March 31st each year'}]}"
extract entities from this contract excerpt,"The Cryptocurrency Exchange Listing Agreement dated April 18, 2025, grants CryptoTrade Exchange Platform exclusive rights to list and trade the digital tokens issued by Blockchain Innovations Corp., a Delaware corporation. The listing becomes active May 1, 2025, with an initial 36-month term ending April 30, 2028. Digital Asset Custody Services LLC serves as the token custodian, while Blockchain Security Auditors Inc. provides ongoing security assessments. Monthly trading volume reports are due by the 10th of each following month. Alex Rodriguez, serving as Chief Technology Officer of Blockchain Innovations Corp., manages the technical integration.","{'parties': [{'name': 'CryptoTrade Exchange Platform', 'role': 'Exchange Operator'}, {'name': 'Blockchain Innovations Corp.', 'role': 'Token Issuer', 'entity_type': 'Delaware corporation'}, {'name': 'Digital Asset Custody Services LLC', 'role': 'Token Custodian'}, {'name': 'Blockchain Security Auditors Inc.', 'role': 'Security Assessor'}, {'name': 'Alex Rodriguez', 'role': 'Chief Technology Officer', 'entity_type': 'Chief Technology Officer of Blockchain Innovations Corp.'}], 'dates': [{'type': 'listing_agreement_date', 'date': 'April 18, 2025'}, {'type': 'listing_activation_date', 'date': 'May 1, 2025'}, {'type': 'initial_term_expiration', 'date': 'April 30, 2028'}, {'type': 'monthly_report_deadline', 'date': '10th of each following month'}]}"
extract entities from this contract excerpt,"The Carbon Credit Purchase Agreement executed on June 14, 2025, establishes the acquisition of verified carbon offset credits by Green Energy Solutions Inc. from Rainforest Conservation Partners, a Brazilian environmental organization. The transaction covers 500,000 metric tons of CO2 equivalent credits with delivery scheduled for September 30, 2025. Climate Verification Services International acts as the independent verification body, while Carbon Registry Foundation maintains the official credit registry. The credits must achieve Gold Standard certification by August 15, 2025. Maria Santos, serving as Sustainability Director for Green Energy Solutions Inc., coordinates the transaction.","{'parties': [{'name': 'Green Energy Solutions Inc.', 'role': 'Credit Purchaser'}, {'name': 'Rainforest Conservation Partners', 'role': 'Credit Seller', 'entity_type': 'Brazilian environmental organization'}, {'name': 'Climate Verification Services International', 'role': 'Verification Body'}, {'name': 'Carbon Registry Foundation', 'role': 'Registry Operator'}, {'name': 'Maria Santos', 'role': 'Sustainability Director', 'entity_type': 'Sustainability Director for Green Energy Solutions Inc.'}], 'dates': [{'type': 'purchase_agreement_execution_date', 'date': 'June 14, 2025'}, {'type': 'gold_standard_certification_deadline', 'date': 'August 15, 2025'}, {'type': 'credit_delivery_date', 'date': 'September 30, 2025'}]}"
extract entities from this contract excerpt,"The Space Technology Development Agreement dated December 3, 2024, establishes a collaborative research partnership between Orbital Systems Inc., a space technology company, and Advanced Materials Research Lab, a government research facility. The collaboration commences January 15, 2025, and continues through December 31, 2027. The project aims to develop next-generation satellite components with prototype delivery scheduled for October 1, 2026. NASA Technology Transfer Office acts as the regulatory oversight body, while Aerospace Testing Facilities LLC provides specialized testing services. Dr. Lisa Chang, serving as Principal Research Scientist at Advanced Materials Research Lab, leads the technical development.","{'parties': [{'name': 'Orbital Systems Inc.', 'role': 'Industry Partner', 'entity_type': 'space technology company'}, {'name': 'Advanced Materials Research Lab', 'role': 'Research Partner', 'entity_type': 'government research facility'}, {'name': 'NASA Technology Transfer Office', 'role': 'Regulatory Oversight Body'}, {'name': 'Aerospace Testing Facilities LLC', 'role': 'Testing Service Provider'}, {'name': 'Dr. Lisa Chang', 'role': 'Principal Research Scientist', 'entity_type': 'Principal Research Scientist at Advanced Materials Research Lab'}], 'dates': [{'type': 'development_agreement_date', 'date': 'December 3, 2024'}, {'type': 'collaboration_commencement_date', 'date': 'January 15, 2025'}, {'type': 'collaboration_completion_date', 'date': 'December 31, 2027'}, {'type': 'prototype_delivery_date', 'date': 'October 1, 2026'}]}"
extract entities from this contract excerpt,"The Renewable Energy Certificate Trading Agreement signed on July 22, 2025, facilitates the exchange of renewable energy certificates between WindPower Generation LLC, an Iowa wind farm operator, and Metropolitan Utilities Company, a regional electric utility. The trading arrangement becomes effective August 1, 2025, and extends through July 31, 2030. Monthly certificate transfers occur by the 15th of each month, with annual volume reconciliation due by January 31st of the following year. Green-e Certification Body provides renewable energy certification, while Energy Trading Clearinghouse manages settlement processes. Emily Davis, serving as Energy Portfolio Manager for Metropolitan Utilities Company, oversees the trading operations.","{'parties': [{'name': 'WindPower Generation LLC', 'role': 'Certificate Seller', 'entity_type': 'Iowa wind farm operator'}, {'name': 'Metropolitan Utilities Company', 'role': 'Certificate Buyer', 'entity_type': 'regional electric utility'}, {'name': 'Green-e Certification Body', 'role': 'Certification Provider'}, {'name': 'Energy Trading Clearinghouse', 'role': 'Settlement Manager'}, {'name': 'Emily Davis', 'role': 'Energy Portfolio Manager', 'entity_type': 'Energy Portfolio Manager for Metropolitan Utilities Company'}], 'dates': [{'type': 'trading_agreement_signing_date', 'date': 'July 22, 2025'}, {'type': 'effective_date', 'date': 'August 1, 2025'}, {'type': 'agreement_expiration_date', 'date': 'July 31, 2030'}, {'type': 'monthly_transfer_deadline', 'date': '15th of each month'}, {'type': 'annual_reconciliation_deadline', 'date': 'January 31st of the following year'}]}"
extract entities from this contract excerpt,"The Maritime Shipping Contract signed on October 12, 2024, establishes freight transportation services between Global Shipping Lines Ltd., a Liberian-flagged carrier, and International Trade Consortium for the transport of containerized cargo on the Asia-Pacific route. The shipping schedule becomes effective November 1, 2024, with monthly vessel departures continuing through October 31, 2026. Each voyage must maintain a 21-day transit schedule, with cargo delivery guaranteed within 25 days of departure. Lloyd's of London provides marine insurance coverage, while Port Authority Services manages terminal operations. Captain Elena Rodriguez, serving as Fleet Operations Manager for Global Shipping Lines Ltd., coordinates vessel scheduling.","{'parties': [{'name': 'Global Shipping Lines Ltd.', 'role': 'Freight Carrier', 'entity_type': 'Liberian-flagged carrier'}, {'name': 'International Trade Consortium', 'role': 'Cargo Shipper'}, {'name': ""Lloyd's of London"", 'role': 'Marine Insurance Provider'}, {'name': 'Port Authority Services', 'role': 'Terminal Operations Manager'}, {'name': 'Captain Elena Rodriguez', 'role': 'Fleet Operations Manager', 'entity_type': 'Fleet Operations Manager for Global Shipping Lines Ltd.'}], 'dates': [{'type': 'shipping_contract_signing_date', 'date': 'October 12, 2024'}, {'type': 'schedule_effective_date', 'date': 'November 1, 2024'}, {'type': 'contract_expiration_date', 'date': 'October 31, 2026'}, {'type': 'transit_schedule_requirement', 'date': '21-day transit schedule'}, {'type': 'delivery_guarantee_deadline', 'date': 'within 25 days of departure'}]}"
extract entities from this contract excerpt,"The Biotechnology Licensing and Commercialization Agreement dated January 8, 2025, grants exclusive commercialization rights to Pharma Solutions International for the novel gene therapy platform developed by University Research Institute. The licensing term commences February 1, 2025, and extends through January 31, 2035. Milestone payments are triggered by regulatory approvals, with first commercial sale expected by June 30, 2028. The National Institutes of Health retains certain research rights, while Technology Transfer Associates manages intellectual property administration. Quarterly royalty payments are due within 45 days of each quarter end. Dr. Michael Zhang, acting as Technology Transfer Director at University Research Institute, negotiated the licensing terms.","{'parties': [{'name': 'Pharma Solutions International', 'role': 'Exclusive Licensee'}, {'name': 'University Research Institute', 'role': 'Licensor'}, {'name': 'National Institutes of Health', 'role': 'Research Rights Holder'}, {'name': 'Technology Transfer Associates', 'role': 'IP Administrator'}, {'name': 'Dr. Michael Zhang', 'role': 'Technology Transfer Director', 'entity_type': 'Technology Transfer Director at University Research Institute'}], 'dates': [{'type': 'licensing_agreement_date', 'date': 'January 8, 2025'}, {'type': 'licensing_term_commencement', 'date': 'February 1, 2025'}, {'type': 'licensing_term_expiration', 'date': 'January 31, 2035'}, {'type': 'first_commercial_sale_target', 'date': 'June 30, 2028'}, {'type': 'quarterly_payment_deadline', 'date': 'within 45 days of each quarter end'}]}"
extract entities from this contract excerpt,"The Waste Management and Recycling Services Agreement executed on April 3, 2025, engages EcoWaste Solutions Corp., a certified waste management company, to provide comprehensive waste processing services for Metropolitan Manufacturing District. The service contract becomes operative May 1, 2025, and continues through April 30, 2030. Weekly collection schedules must be maintained, with monthly recycling reports due by the 5th of each following month. The Environmental Protection Agency provides regulatory oversight, while Green Certification Institute verifies sustainability compliance. Annual waste diversion targets must achieve 75% recycling rates by December 31st of each contract year. Susan Martinez, serving as Environmental Compliance Manager for Metropolitan Manufacturing District, monitors service performance.","{'parties': [{'name': 'EcoWaste Solutions Corp.', 'role': 'Waste Management Provider', 'entity_type': 'certified waste management company'}, {'name': 'Metropolitan Manufacturing District', 'role': 'Service Client'}, {'name': 'Environmental Protection Agency', 'role': 'Regulatory Oversight Authority'}, {'name': 'Green Certification Institute', 'role': 'Sustainability Compliance Verifier'}, {'name': 'Susan Martinez', 'role': 'Environmental Compliance Manager', 'entity_type': 'Environmental Compliance Manager for Metropolitan Manufacturing District'}], 'dates': [{'type': 'services_agreement_execution_date', 'date': 'April 3, 2025'}, {'type': 'service_operative_date', 'date': 'May 1, 2025'}, {'type': 'service_contract_expiration', 'date': 'April 30, 2030'}, {'type': 'monthly_report_deadline', 'date': '5th of each following month'}, {'type': 'annual_recycling_target_deadline', 'date': 'December 31st of each contract year'}]}"
extract entities from this contract excerpt,"The Luxury Brand Endorsement Agreement signed on March 22, 2025, secures promotional services from Celebrity Fashion Icon Sarah Thompson for the upcoming collection launch by Premier Luxury Brands Inc., a French fashion house. The endorsement period runs from April 1, 2025, through March 31, 2027, with exclusive rights during Fashion Week seasons. The celebrity must appear at the Milan Fashion Show scheduled for September 15, 2025, and participate in the New York launch event on November 12, 2025. Talent Management Group LLC represents the celebrity's interests, while Creative Marketing Agency handles campaign development. Photo shoot sessions must be completed by August 1, 2025. Jessica Williams, acting as Brand Marketing Director for Premier Luxury Brands Inc., coordinates the collaboration.","{'parties': [{'name': 'Sarah Thompson', 'role': 'Celebrity Endorser'}, {'name': 'Premier Luxury Brands Inc.', 'role': 'Brand Client', 'entity_type': 'French fashion house'}, {'name': 'Talent Management Group LLC', 'role': 'Celebrity Representative'}, {'name': 'Creative Marketing Agency', 'role': 'Campaign Developer'}, {'name': 'Jessica Williams', 'role': 'Brand Marketing Director', 'entity_type': 'Brand Marketing Director for Premier Luxury Brands Inc.'}], 'dates': [{'type': 'endorsement_agreement_signing_date', 'date': 'March 22, 2025'}, {'type': 'endorsement_period_start', 'date': 'April 1, 2025'}, {'type': 'endorsement_period_end', 'date': 'March 31, 2027'}, {'type': 'photo_shoot_completion_deadline', 'date': 'August 1, 2025'}, {'type': 'milan_fashion_show_date', 'date': 'September 15, 2025'}, {'type': 'new_york_launch_event_date', 'date': 'November 12, 2025'}]}"
extract entities from this contract excerpt,"The International Joint Banking Venture Agreement dated September 14, 2024, establishes a strategic alliance between Global Financial Services Bank, a Swiss banking institution, and Emerging Markets Capital Bank, domiciled in Singapore, to provide cross-border financial services in the Asia-Pacific region. The joint venture becomes operational January 1, 2025, with a 10-year term ending December 31, 2034. Capital contributions of $500 million from each partner are due by November 30, 2024. The Monetary Authority of Singapore serves as the primary regulator, while Basel Banking Consultants LLC provides regulatory compliance advisory services. Annual partnership reviews are scheduled for each January 15th. Thomas Chen, acting as International Banking Director for Global Financial Services Bank, leads the venture coordination.","{'parties': [{'name': 'Global Financial Services Bank', 'role': 'Joint Venture Partner', 'entity_type': 'Swiss banking institution'}, {'name': 'Emerging Markets Capital Bank', 'role': 'Joint Venture Partner', 'entity_type': 'Singapore bank'}, {'name': 'Monetary Authority of Singapore', 'role': 'Primary Regulator'}, {'name': 'Basel Banking Consultants LLC', 'role': 'Regulatory Compliance Advisor'}, {'name': 'Thomas Chen', 'role': 'International Banking Director', 'entity_type': 'International Banking Director for Global Financial Services Bank'}], 'dates': [{'type': 'joint_venture_agreement_date', 'date': 'September 14, 2024'}, {'type': 'capital_contribution_deadline', 'date': 'November 30, 2024'}, {'type': 'venture_operational_date', 'date': 'January 1, 2025'}, {'type': 'venture_term_expiration', 'date': 'December 31, 2034'}, {'type': 'annual_partnership_review_date', 'date': 'January 15th each year'}]}"
